t (s),V (mV)
0,13.2665
1.048,13.2527
2.098,13.236
3.149,13.2143
4.195,13.193
5.196,13.1716
6.196,13.1507
7.195,13.1284
8.196,13.1048
9.196,13.0817
10.195,13.0597
11.195,13.0385
12.196,13.0225
13.196,12.9992
14.196,12.9758
15.195,12.9522
16.196,12.9285
17.195,12.9042
18.196,12.8801
19.196,12.8562
20.196,12.8316
21.195,12.8094
22.196,12.7853
23.195,12.7617
24.195,12.7379
25.196,12.7163
26.195,12.6918
27.196,12.6701
28.196,12.648
29.196,12.6257
30.195,12.6023
31.196,12.581
32.195,12.5582
33.195,12.536
34.196,12.5142
35.195,12.492
36.196,12.4701
37.196,12.4477
38.195,12.4253
39.195,12.4032
40.196,12.3819
41.195,12.3612
42.195,12.3391
43.196,12.3181
44.196,12.2973
45.195,12.2755
46.195,12.255
47.196,12.2333
48.196,12.2132
49.195,12.1922
50.196,12.1803
51.195,12.1616
52.195,12.1411
53.195,12.1212
54.196,12.1011
55.196,12.081
56.196,12.0605
57.195,12.0408
58.195,12.02
59.195,12.0008
60.195,11.981
61.195,11.9608
62.196,11.9411
63.195,11.9204
64.196,11.9011
65.195,11.8806
66.196,11.8615
67.195,11.841
68.195,11.8215
69.196,11.803
70.196,11.7828
71.196,11.7626
72.196,11.7434
73.195,11.7238
74.196,11.7057
75.195,11.6861
76.195,11.6671
77.196,11.6482
78.195,11.6283
79.195,11.6097
80.195,11.5922
81.196,11.5726
82.195,11.5541
83.195,11.5353
84.196,11.5195
85.196,11.5013
86.195,11.4826
87.196,11.4639
88.195,11.4449
89.195,11.4271
90.195,11.409
91.196,11.3912
92.196,11.3738
93.196,11.3554
94.195,11.3363
95.195,11.3188
96.195,11.3005
97.196,11.2829
98.196,11.2647
99.195,11.2473
100.195,11.2292
101.196,11.2122
102.196,11.195
103.196,11.1774
104.196,11.1598
105.195,11.1418
106.195,11.124
107.195,11.1076
108.195,11.0918
109.196,11.0732
110.196,11.0556
111.196,11.0389
112.195,11.0226
113.195,11.0053
114.196,10.9887
115.196,10.9707
116.195,10.9545
117.196,10.9374
118.196,10.9206
119.195,10.9032
120.196,10.8874
121.196,10.8701
122.196,10.854
123.195,10.8366
124.195,10.8212
125.196,10.8036
126.195,10.7878
127.195,10.7715
128.196,10.754
129.196,10.7388
130.195,10.7224
131.195,10.706
132.196,10.6901
133.196,10.6736
134.195,10.6575
135.196,10.6411
136.196,10.6259
137.195,10.6108
138.194,10.5952
139.195,10.5805
140.195,10.5646
141.194,10.5488
142.195,10.5329
143.194,10.5167
144.194,10.502
145.194,10.4848
146.194,10.4696
147.195,10.4532
148.194,10.438
149.194,10.4229
150.194,10.4072
151.194,10.3922
152.195,10.3775
153.195,10.3617
154.195,10.3466
155.194,10.3318
156.194,10.3163
157.194,10.3011
158.194,10.2864
159.194,10.2727
160.195,10.2579
161.194,10.2439
162.194,10.2282
163.194,10.2135
164.195,10.1994
165.195,10.1833
166.194,10.1689
167.194,10.155
168.195,10.1404
169.194,10.1259
170.194,10.1111
171.195,10.0971
172.194,10.082
173.194,10.0681
174.195,10.0525
175.195,10.0378
176.194,10.0232
177.194,10.0092
178.196,9.9947
179.196,9.9809
180.195,9.9662
181.195,9.952
182.196,9.938
183.195,9.9227
184.195,9.9088
185.196,9.8948
186.195,9.88
187.195,9.8658
188.195,9.8518
189.196,9.8375
190.195,9.8229
191.195,9.8079
192.196,9.794
193.195,9.7794
194.195,9.7652
195.196,9.7523
196.196,9.7375
197.196,9.7242
198.196,9.7098
199.196,9.6956
200.195,9.6818
201.195,9.6671
202.195,9.6532
203.195,9.6391
204.196,9.6258
205.196,9.6113
206.196,9.5968
207.196,9.5833
208.196,9.5689
209.196,9.5549
210.196,9.5413
211.196,9.5281
212.195,9.5145
213.195,9.5016
214.195,9.4882
215.195,9.4751
216.196,9.4625
217.196,9.4495
218.195,9.4365
219.196,9.4231
220.196,9.41
221.195,9.3962
222.196,9.3823
223.196,9.369
224.195,9.3563
225.195,9.343
226.196,9.3295
227.195,9.3175
228.195,9.3041
229.196,9.2911
230.196,9.2759
231.195,9.2636
232.195,9.2509
233.196,9.2386
234.196,9.2253
235.195,9.2134
236.196,9.1994
237.196,9.1874
238.196,9.1747
239.195,9.1625
240.195,9.1501
241.196,9.1367
242.195,9.125
243.195,9.1117
244.195,9.0997
245.195,9.0871
246.196,9.0744
247.196,9.0622
248.196,9.0498
249.195,9.0376
250.195,9.0251
251.195,9.013
252.195,9.0015
253.195,8.9877
254.195,8.9754
255.195,8.9633
256.195,8.9511
257.196,8.9395
258.196,8.9269
259.196,8.9143
260.196,8.9026
261.196,8.8906
262.196,8.8781
263.196,8.8663
264.195,8.8528
265.195,8.841
266.196,8.8286
267.195,8.8167
268.196,8.8056
269.195,8.7927
270.196,8.7809
271.195,8.7687
272.196,8.7565
273.196,8.7442
274.195,8.731
275.196,8.7195
276.196,8.7075
277.196,8.696
278.195,8.6839
279.195,8.6734
280.196,8.6615
281.196,8.6493
282.195,8.6384
283.195,8.6249
284.195,8.6142
285.195,8.6032
286.195,8.5908
287.196,8.5794
288.196,8.568
289.195,8.5564
290.195,8.5443
291.195,8.5325
292.196,8.5217
