t (s),V (mV)
293.195,8.5098
294.195,8.4992
295.195,8.4874
296.195,8.4764
297.195,8.4651
298.195,8.454
299.195,8.4423
300.195,8.4319
301.195,8.4198
302.196,8.4085
303.195,8.3968
304.195,8.3858
305.195,8.3737
306.195,8.3617
307.195,8.3504
308.195,8.3389
309.196,8.3277
310.196,8.3162
311.196,8.3042
312.196,8.2937
313.195,8.2815
314.196,8.2705
315.195,8.2589
316.196,8.2473
317.195,8.2362
318.196,8.2247
319.195,8.2139
320.195,8.2037
321.196,8.1921
322.196,8.1814
323.196,8.1697
324.196,8.1588
325.196,8.1476
326.195,8.1372
327.196,8.1259
328.195,8.1147
329.195,8.104
330.195,8.0927
331.196,8.081
332.195,8.071
333.196,8.0588
334.195,8.0489
335.195,8.0378
336.195,8.0292
337.195,8.0187
338.195,8.0078
339.196,7.9967
340.195,7.9859
341.195,7.975
342.195,7.9644
343.196,7.953
344.196,7.9427
345.196,7.9315
346.196,7.9206
347.195,7.9098
348.195,7.8992
349.195,7.8872
350.196,7.8687
351.196,7.8548
352.195,7.844
353.195,7.8325
354.196,7.8232
355.196,7.8117
356.196,7.8016
357.195,7.7909
358.195,7.7801
359.196,7.7705
360.196,7.7587
361.195,7.7477
362.195,7.7373
363.195,7.7272
364.195,7.7161
365.195,7.706
366.195,7.695
367.195,7.6845
368.195,7.674
369.195,7.6624
370.195,7.6522
371.196,7.6419
372.195,7.6316
373.196,7.6215
374.195,7.6104
375.195,7.6004
376.195,7.5902
377.196,7.5792
378.195,7.5695
379.196,7.5583
380.195,7.5493
381.196,7.5391
382.195,7.5289
383.195,7.5183
384.196,7.5088
385.196,7.4982
386.195,7.4869
387.195,7.4771
388.195,7.467
389.196,7.4566
390.195,7.4473
391.196,7.4361
392.196,7.4271
393.195,7.4172
394.195,7.4087
395.196,7.3978
396.196,7.3885
397.196,7.3779
398.195,7.3678
399.195,7.3581
400.196,7.3483
401.196,7.3388
402.196,7.3287
403.195,7.3192
404.195,7.309
405.196,7.2986
406.196,7.2895
407.196,7.2792
408.196,7.2704
409.195,7.2609
410.195,7.2506
411.195,7.2404
412.195,7.2313
413.195,7.2209
414.195,7.2121
