t (s),V (mV)
0,12.6064
1.05,12.5976
2.099,12.5846
3.15,12.5786
4.158,12.5664
5.158,12.5568
6.158,12.5491
7.158,12.5385
8.158,12.5288
9.157,12.52
10.158,12.5091
11.158,12.4985
12.158,12.4879
13.157,12.4763
14.158,12.4641
15.162,12.4506
16.157,12.442
17.158,12.4293
18.157,12.4184
19.158,12.4057
20.157,12.3926
21.158,12.3806
22.158,12.3685
23.158,12.3554
24.157,12.3433
25.158,12.3319
26.157,12.3187
27.157,12.3072
28.158,12.2952
29.158,12.2836
30.157,12.2713
31.158,12.2593
32.157,12.2474
33.157,12.2361
34.158,12.2234
35.157,12.2116
36.157,12.1997
37.158,12.1879
38.158,12.1754
39.163,12.1644
40.157,12.1501
41.158,12.1378
42.157,12.1256
43.157,12.1143
44.158,12.1025
45.157,12.0904
46.158,12.0793
47.157,12.0676
48.158,12.0559
49.157,12.0441
50.158,12.0324
51.157,12.0216
52.158,12.0091
53.157,11.9977
54.158,11.9853
55.158,11.9747
56.157,11.9628
57.163,11.9514
58.158,11.9395
59.158,11.9283
60.157,11.9164
61.158,11.9062
62.157,11.8943
63.158,11.8829
64.157,11.8718
65.159,11.8599
66.157,11.8492
67.158,11.8378
68.158,11.8258
69.157,11.8153
70.157,11.8048
71.158,11.7933
72.158,11.7804
73.157,11.7698
74.157,11.758
75.158,11.7474
76.158,11.7365
77.158,11.7257
78.157,11.7142
79.157,11.7041
80.158,11.6925
81.157,11.6812
82.157,11.6704
83.157,11.6593
84.158,11.6482
85.158,11.6369
86.158,11.6265
87.158,11.6158
88.157,11.6056
89.158,11.5948
90.158,11.5845
91.158,11.5734
92.157,11.5631
93.157,11.5531
94.157,11.5419
95.158,11.531
96.157,11.5199
97.158,11.5086
98.157,11.4985
99.158,11.4869
100.158,11.476
101.158,11.4656
102.157,11.4549
103.158,11.4444
104.157,11.4334
105.158,11.4226
106.158,11.4121
107.157,11.4024
108.158,11.3912
109.158,11.381
110.157,11.3702
111.162,11.3584
112.157,11.3496
113.157,11.3394
114.157,11.3285
115.158,11.318
116.158,11.3069
117.157,11.2976
118.157,11.2869
119.157,11.2764
120.158,11.2655
121.157,11.2552
122.157,11.2451
123.158,11.2354
124.158,11.2257
125.158,11.2161
126.158,11.2058
127.157,11.1973
128.158,11.1879
129.162,11.1767
130.158,11.1695
131.158,11.161
132.157,11.1509
133.158,11.1418
134.157,11.1323
135.158,11.122
136.157,11.1135
137.158,11.1033
138.158,11.094
139.157,11.0843
140.157,11.0749
141.163,11.0626
142.157,11.0556
143.157,11.0458
144.158,11.0359
145.158,11.027
146.158,11.0166
147.158,11.0069
148.158,10.9961
149.158,10.9875
150.157,10.9775
151.158,10.9681
152.157,10.9585
153.163,10.9475
154.158,10.9388
155.157,10.9297
156.158,10.9195
157.157,10.9097
158.158,10.8998
159.157,10.8889
160.157,10.8798
161.157,10.8701
162.157,10.8591
163.158,10.8495
164.157,10.8395
165.157,10.8296
166.158,10.8209
167.158,10.811
168.157,10.8019
169.158,10.7925
170.157,10.784
171.163,10.7761
172.158,10.7655
173.158,10.7568
174.157,10.7469
175.158,10.7384
176.157,10.7283
177.157,10.7199
178.158,10.7097
179.158,10.7012
180.158,10.6918
181.157,10.6831
182.158,10.6747
183.162,10.6665
184.157,10.6557
