t (s),V (mV)
185.157,10.6461
186.157,10.6379
187.158,10.6286
188.158,10.621
189.163,10.6107
190.157,10.603
191.156,10.5943
192.156,10.584
193.157,10.5755
194.157,10.5653
195.157,10.5558
196.157,10.5465
197.156,10.5376
198.157,10.5284
199.157,10.5196
200.157,10.5099
201.156,10.5003
202.156,10.4909
203.157,10.4815
204.157,10.472
205.156,10.4631
206.157,10.4523
207.156,10.4433
208.157,10.4328
209.156,10.4251
210.157,10.4148
211.156,10.4061
212.156,10.3975
213.162,10.3899
214.157,10.379
215.156,10.3703
216.157,10.3612
217.156,10.3518
218.157,10.3435
219.156,10.3338
220.156,10.3253
221.156,10.3171
222.156,10.3083
223.157,10.2995
224.157,10.2905
225.156,10.2817
226.157,10.2731
227.157,10.2631
228.156,10.2548
229.157,10.2455
230.156,10.2366
231.156,10.2274
232.156,10.2186
233.157,10.2102
234.156,10.201
235.156,10.192
236.157,10.1838
237.157,10.1744
238.156,10.1665
239.157,10.1572
240.156,10.1482
241.156,10.1401
242.156,10.1315
243.157,10.1225
244.156,10.1137
245.156,10.1059
246.156,10.0978
247.157,10.089
248.156,10.0807
249.157,10.072
250.156,10.0633
251.156,10.0552
252.157,10.0466
253.156,10.0373
254.157,10.0289
255.156,10.0205
256.156,10.0115
257.156,10.0029
258.158,9.9949
259.157,9.9865
260.158,9.9775
261.157,9.9693
262.157,9.9608
263.158,9.9526
264.157,9.9443
265.157,9.935
266.158,9.9268
267.157,9.919
268.157,9.9104
269.158,9.9021
270.157,9.8931
271.158,9.8845
272.158,9.8759
273.157,9.8678
274.157,9.8589
275.158,9.8509
276.158,9.8429
277.157,9.8339
278.157,9.8254
279.158,9.8163
280.157,9.8094
281.158,9.7987
282.158,9.7887
283.157,9.78
284.157,9.772
285.162,9.7619
286.157,9.755
287.157,9.7471
288.158,9.7381
289.158,9.7307
290.157,9.7221
291.163,9.7115
292.157,9.7048
293.158,9.6973
294.158,9.6887
295.157,9.6802
296.157,9.6729
297.158,9.6643
298.157,9.6569
299.158,9.6479
300.157,9.64
301.157,9.6319
302.158,9.6231
303.157,9.6156
304.157,9.6077
305.16,9.5981
306.158,9.5912
307.157,9.5841
308.157,9.5757
309.157,9.5674
310.158,9.5593
311.157,9.5518
312.158,9.5433
313.157,9.5346
314.157,9.5267
315.163,9.5172
316.158,9.5108
317.158,9.5028
318.157,9.495
319.158,9.4866
320.158,9.4784
321.157,9.4698
322.157,9.4609
323.158,9.453
324.158,9.4454
325.157,9.4373
326.157,9.429
327.157,9.4203
328.158,9.4125
329.157,9.4044
330.157,9.3958
331.157,9.3884
332.158,9.3797
333.158,9.3714
334.158,9.363
335.157,9.3554
336.157,9.3474
337.158,9.3392
338.157,9.3313
339.157,9.3222
340.157,9.3141
341.157,9.3069
342.158,9.2989
343.157,9.2896
344.157,9.2816
345.158,9.2737
346.157,9.2646
347.157,9.2566
348.158,9.249
349.157,9.2413
350.158,9.2329
351.157,9.2252
352.157,9.2179
353.158,9.2094
354.157,9.2023
355.158,9.1945
356.157,9.1876
357.163,9.1791
358.157,9.1718
359.158,9.1638
360.158,9.1561
361.157,9.1494
362.158,9.1405
363.157,9.133
364.157,9.1254
365.158,9.1181
366.157,9.1096
367.158,9.1022
368.157,9.0954
369.157,9.087
370.157,9.0801
371.158,9.0727
372.158,9.0646
373.157,9.0576
374.157,9.0505
375.162,9.0417
376.157,9.0353
377.157,9.0278
378.158,9.0198
379.158,9.0126
380.157,9.0047
381.157,8.9971
382.157,8.9895
383.158,8.9819
384.158,8.974
385.157,8.9668
386.157,8.9582
387.158,8.9511
388.158,8.9439
389.157,8.9362
390.157,8.9283
391.158,8.9213
392.158,8.9134
393.157,8.906
394.158,8.8983
395.157,8.8906
396.157,8.8831
397.158,8.8754
398.157,8.8685
399.157,8.8612
400.158,8.8531
401.157,8.8456
402.158,8.8383
403.157,8.8311
404.157,8.8239
405.158,8.8157
406.157,8.8084
407.158,8.801
408.158,8.7944
409.158,8.787
410.158,8.7793
411.162,8.7733
412.158,8.765
413.158,8.7577
414.157,8.7504
415.157,8.7446
416.157,8.7375
417.165,8.7299
418.157,8.7236
419.158,8.7162
420.158,8.709
421.157,8.702
422.158,8.6952
423.158,8.6875
424.158,8.6794
425.159,8.6726
426.158,8.6658
427.158,8.6582
428.157,8.652
429.163,8.6421
430.158,8.6375
431.158,8.6306
432.157,8.6238
433.157,8.6173
434.157,8.6107
435.157,8.6029
436.157,8.596
437.157,8.5895
438.158,8.5812
439.157,8.5746
440.158,8.5676
441.157,8.5598
442.158,8.5529
443.158,8.5457
444.157,8.5379
445.158,8.5317
446.158,8.5242
447.158,8.5163
448.157,8.5088
449.157,8.5019
450.158,8.4946
451.158,8.4869
452.157,8.48
453.158,8.4724
454.157,8.4657
455.158,8.4591
456.157,8.4521
457.157,8.4453
458.158,8.4374
459.158,8.4316
460.157,8.4241
461.158,8.417
462.158,8.4098
463.157,8.4019
464.158,8.3951
465.158,8.3878
466.158,8.381
467.157,8.3736
468.157,8.3668
469.158,8.3598
470.157,8.3521
471.157,8.3455
472.158,8.3382
473.158,8.3322
474.157,8.3252
475.157,8.319
476.158,8.3115
477.158,8.3056
478.158,8.2987
479.158,8.2916
480.157,8.2849
481.158,8.2781
482.158,8.2713
483.163,8.2628
484.158,8.2578
485.158,8.2513
486.158,8.2442
487.158,8.2379
488.158,8.2316
489.157,8.2246
490.157,8.2173
491.157,8.2109
492.158,8.2039
493.157,8.1967
494.158,8.1898
495.158,8.1829
496.157,8.1751
497.157,8.1686
498.158,8.1617
499.157,8.1547
500.158,8.1478
501.158,8.141
502.157,8.1333
503.158,8.1275
504.157,8.1207
505.157,8.1148
506.158,8.1081
507.158,8.1016
508.157,8.094
509.157,8.0868
510.157,8.0805
511.158,8.0736
512.157,8.0665
513.158,8.0588
514.158,8.0521
515.157,8.0445
516.157,8.0376
517.158,8.0313
518.158,8.0241
519.158,8.0177
520.158,8.0103
521.157,8.0039
522.157,7.9966
523.157,7.99
524.158,7.9832
525.157,7.9771
526.157,7.97
527.158,7.9635
528.158,7.9569
529.157,7.9495
530.157,7.9432
531.157,7.9372
532.157,7.9312
533.157,7.9252
534.158,7.9172
535.158,7.9114
536.158,7.9045
537.157,7.8977
538.157,7.89
539.157,7.8843
540.157,7.8785
541.157,7.8725
542.157,7.866
543.164,7.8581
544.158,7.853
545.159,7.8457
546.158,7.8396
547.157,7.834
548.158,7.8276
549.163,7.8202
550.158,7.815
551.157,7.8083
552.158,7.8024
553.158,7.7958
554.157,7.7899
555.158,7.783
556.158,7.7773
557.157,7.7711
558.158,7.7644
559.157,7.7576
560.157,7.7516
561.163,7.7434
562.157,7.739
563.158,7.7325
564.158,7.7256
565.157,7.7198
566.158,7.7134
567.157,7.7074
568.157,7.7007
569.157,7.6949
570.158,7.6876
571.158,7.6813
572.157,7.6747
573.163,7.6665
574.157,7.6622
575.157,7.6561
576.158,7.6491
577.157,7.6432
578.157,7.6359
579.157,7.6297
580.157,7.623
581.157,7.6173
582.157,7.6119
583.158,7.6049
584.158,7.5986
585.163,7.5908
586.157,7.5858
587.157,7.5804
588.157,7.5735
589.158,7.5672
590.157,7.5606
591.157,7.5544
592.157,7.5481
593.157,7.542
594.158,7.5359
595.157,7.5293
596.158,7.523
597.158,7.5168
598.157,7.5108
599.158,7.5034
600.157,7.4977
601.157,7.4911
602.157,7.4851
603.158,7.4794
604.157,7.4733
605.157,7.4665
606.158,7.4602
607.158,7.4537
608.158,7.4471
609.158,7.4415
610.157,7.4343
611.157,7.4277
612.157,7.4216
613.158,7.4155
614.157,7.409
615.157,7.403
616.157,7.3973
617.157,7.3909
618.158,7.3847
619.158,7.3786
620.157,7.3722
621.157,7.3664
622.158,7.3609
623.158,7.3546
624.158,7.348
625.157,7.3428
626.157,7.3362
627.157,7.3295
628.157,7.3248
629.157,7.3186
630.157,7.3127
631.157,7.3067
632.157,7.301
633.158,7.2952
634.158,7.2895
635.158,7.2834
636.157,7.2769
637.157,7.2707
638.157,7.2648
639.158,7.2588
640.158,7.2528
641.157,7.2465
642.157,7.2405
643.158,7.2343
644.158,7.2294
645.162,7.2237
646.158,7.217
647.157,7.2113
648.157,7.2051
649.158,7.1998
650.158,7.194
651.158,7.1881
652.158,7.1823
653.157,7.1758
654.157,7.1696
655.157,7.1645
