t (s),V (mV)
0,13.8944
1.049,13.8729
2.099,13.8488
3.117,13.8239
4.118,13.7994
5.117,13.774
6.117,13.7482
7.118,13.7232
8.117,13.6972
9.117,13.6706
10.117,13.644
11.117,13.6163
12.118,13.5898
13.118,13.5623
14.118,13.5351
15.117,13.5081
16.118,13.4809
17.118,13.4535
18.118,13.4269
19.118,13.3989
20.117,13.3713
21.117,13.344
22.117,13.316
23.118,13.2882
24.118,13.2605
25.118,13.2339
26.118,13.2048
27.118,13.1811
28.118,13.1567
29.118,13.1282
30.117,13.1049
31.118,13.0815
32.117,13.0572
33.118,13.0316
34.118,13.0073
35.118,12.9819
36.118,12.9576
37.118,12.9324
38.117,12.9107
39.117,12.8861
40.118,12.861
41.118,12.835
42.117,12.8113
43.117,12.7841
44.117,12.759
45.118,12.7325
46.118,12.7071
47.118,12.6792
48.118,12.6531
49.118,12.6297
50.117,12.6043
51.117,12.5822
52.118,12.5566
53.118,12.5455
54.117,12.5209
55.117,12.4967
56.118,12.4735
57.118,12.4492
58.118,12.4254
59.118,12.4022
60.118,12.3782
61.117,12.3544
62.117,12.331
63.117,12.3073
64.12,12.2849
65.117,12.2603
66.117,12.2368
67.118,12.2138
68.118,12.1905
69.117,12.1656
70.118,12.1422
71.118,12.1187
72.118,12.0947
73.118,12.0705
74.117,12.0482
75.117,12.0315
76.117,12.0104
77.117,11.9877
78.118,11.9668
79.118,11.9445
80.117,11.9224
81.118,11.9005
82.118,11.8783
83.118,11.8554
84.117,11.8323
85.118,11.8103
86.118,11.7874
87.117,11.7643
88.117,11.7413
89.118,11.7173
90.118,11.6923
91.117,11.6694
92.117,11.6439
93.118,11.6197
94.117,11.5944
95.118,11.5682
96.117,11.5416
97.117,11.5162
98.117,11.4924
99.118,11.4677
100.118,11.4442
101.117,11.4207
102.117,11.397
103.118,11.374
104.118,11.3516
105.117,11.3271
106.117,11.3025
107.117,11.277
108.118,11.1903
109.118,11.1612
110.117,11.1316
111.117,11.098
112.117,11.0607
113.117,11.0367
114.118,11.015
115.118,10.9781
116.118,10.9398
117.117,10.9127
118.117,10.8942
119.117,10.8771
120.118,10.8593
121.118,10.8415
122.117,10.8202
123.117,10.802
124.117,10.7781
125.118,10.7581
126.117,10.7387
127.117,10.7152
128.117,10.6933
129.117,10.672
130.118,10.6525
131.118,10.6363
132.117,10.6145
133.117,10.5912
134.116,10.5715
135.116,10.5499
136.117,10.5313
137.117,10.5113
138.116,10.4909
139.116,10.4764
140.117,10.4627
141.117,10.45
142.116,10.4335
143.116,10.4173
144.117,10.4047
145.117,10.3924
146.117,10.4135
147.116,10.3996
148.116,10.3825
149.116,10.3714
150.116,10.3536
151.117,10.3309
152.116,10.3089
153.116,10.2906
154.116,10.2702
155.116,10.252
156.117,10.2399
157.116,10.2258
158.116,10.2109
159.116,10.1929
160.117,10.176
161.117,10.1601
162.117,10.1486
163.117,10.1349
164.117,10.1194
165.116,10.1025
166.116,10.0791
167.116,10.0569
168.116,10.0347
169.116,10.0119
170.117,9.9912
171.117,9.9765
172.117,9.9553
173.118,9.9328
174.117,9.9121
175.117,9.892
176.118,9.8736
177.118,9.856
178.118,9.8387
179.117,9.8198
180.117,9.8003
181.118,9.7798
182.118,9.7605
183.117,9.7404
184.118,9.718
185.118,9.6942
186.117,9.6728
187.117,9.6528
188.118,9.6337
189.118,9.6143
190.117,9.5929
191.117,9.5724
192.118,9.5512
193.117,9.5304
194.118,9.5047
195.118,9.481
196.117,9.4572
197.117,9.4349
198.118,9.4144
199.117,9.3954
200.117,9.3779
201.118,9.3603
202.117,9.3418
203.117,9.3246
204.117,9.3113
205.117,9.2982
206.117,9.2874
207.117,9.269
208.118,9.2559
209.118,9.242
210.117,9.227
211.117,9.2114
212.117,9.1976
213.117,9.1841
214.118,9.1672
215.118,9.1504
216.118,9.1327
217.117,9.1157
218.117,9.1006
219.117,9.0844
220.118,9.0691
221.118,9.0538
222.118,9.0388
223.118,9.0244
224.118,9.0088
225.117,8.9933
226.117,8.9757
227.117,8.9573
228.118,8.9416
229.118,8.9246
230.118,8.9064
231.117,8.8876
232.117,8.8712
233.117,8.8534
234.118,8.8357
235.117,8.817
236.118,8.7983
237.118,8.7772
238.117,8.7595
239.117,8.7408
240.118,8.7226
241.117,8.7052
242.118,8.6885
243.117,8.6711
244.117,8.6548
245.117,8.6372
246.118,8.6186
247.117,8.5995
248.118,8.582
249.117,8.5638
250.118,8.5477
251.118,8.5313
252.118,8.5154
253.117,8.4995
254.117,8.4849
255.117,8.4686
256.117,8.452
257.117,8.4361
258.117,8.4194
259.117,8.4022
260.117,8.3841
261.118,8.3675
262.118,8.3512
263.117,8.3342
264.117,8.319
265.118,8.3035
266.118,8.2881
267.117,8.2722
268.118,8.2565
269.118,8.242
270.117,8.2277
271.117,8.2134
272.117,8.1995
273.117,8.1853
274.117,8.1724
275.117,8.181
276.117,8.1622
277.118,8.1463
278.118,8.1304
279.117,8.1151
280.12,8.1015
281.117,8.0854
