t (s),V (mV)
300.12,8.9361
301.119,8.9275
302.119,8.9181
303.119,8.9095
304.119,8.9014
305.119,8.8919
306.119,8.8834
307.119,8.8746
308.119,8.8656
309.12,8.8579
310.119,8.8495
311.119,8.8403
312.12,8.8314
313.119,8.8229
314.12,8.8134
315.12,8.8051
316.119,8.7958
317.12,8.787
318.12,8.7781
319.119,8.769
320.12,8.7599
321.12,8.7512
322.119,8.7425
323.12,8.7328
324.12,8.7236
325.119,8.7156
326.119,8.7061
327.12,8.697
328.12,8.6888
329.12,8.6793
330.119,8.6709
331.119,8.6621
332.119,8.6534
333.119,8.6452
334.119,8.6366
335.119,8.6283
336.119,8.6193
337.12,8.6103
338.12,8.6018
339.12,8.5925
340.119,8.5837
341.119,8.575
342.119,8.5666
343.119,8.5572
344.12,8.5491
345.119,8.5398
346.119,8.5305
347.119,8.5224
348.119,8.5138
349.119,8.5047
350.119,8.4967
351.119,8.4884
352.12,8.4802
353.12,8.4707
354.119,8.4621
355.119,8.4538
356.12,8.4456
357.12,8.4372
358.119,8.4291
359.119,8.4206
360.119,8.4115
361.119,8.4037
362.119,8.3948
363.119,8.3863
364.12,8.3783
365.119,8.3702
366.119,8.3611
367.119,8.3526
368.119,8.3441
369.119,8.3362
370.12,8.3277
371.119,8.3197
372.12,8.3111
373.119,8.3022
374.12,8.294
375.12,8.2856
376.119,8.2765
377.119,8.2682
378.12,8.2602
379.12,8.2516
380.12,8.2433
381.119,8.2357
382.119,8.2271
383.119,8.2191
384.12,8.2108
385.12,8.2032
386.119,8.1935
387.12,8.1864
388.12,8.1781
389.12,8.1694
390.119,8.1604
391.119,8.1528
392.12,8.1444
393.12,8.1359
394.12,8.1282
395.119,8.1197
396.119,8.111
397.119,8.103
398.119,8.0948
399.12,8.0871
400.12,8.0787
401.12,8.0703
402.12,8.0621
403.119,8.053
404.12,8.0451
405.12,8.0369
406.12,8.0302
407.119,8.0207
408.12,8.0131
409.12,8.0045
410.12,7.9963
411.12,7.9886
412.12,7.9808
413.119,7.9725
414.12,7.9652
415.12,7.9564
416.119,7.9485
417.119,7.9401
418.12,7.932
419.12,7.9251
420.119,7.9165
421.12,7.9092
422.12,7.9014
423.119,7.8933
424.12,7.8855
425.119,7.8777
426.12,7.8702
427.12,7.8613
428.119,7.853
429.119,7.8453
430.12,7.8377
431.12,7.8298
432.12,7.8223
433.12,7.8139
434.119,7.8055
435.12,7.7988
436.119,7.7902
437.119,7.7829
438.119,7.7743
439.12,7.7669
440.119,7.7592
441.119,7.752
442.119,7.744
443.12,7.737
444.12,7.7288
445.119,7.7204
446.119,7.7125
447.119,7.7053
448.12,7.6977
449.12,7.6903
450.12,7.6814
451.12,7.6743
452.119,7.6656
453.119,7.6584
454.12,7.6503
455.119,7.6423
456.119,7.6341
457.119,7.627
458.119,7.6201
459.12,7.6123
460.119,7.6045
461.119,7.5967
462.119,7.5892
463.119,7.581
464.12,7.5741
465.119,7.5672
466.119,7.5601
467.12,7.5515
468.119,7.5437
469.12,7.5372
470.12,7.5286
471.119,7.5219
472.119,7.5145
473.12,7.507
474.12,7.4995
475.119,7.4929
476.119,7.4856
477.119,7.4786
478.119,7.4719
479.119,7.464
480.12,7.4569
481.12,7.45
482.12,7.4421
483.12,7.4349
484.119,7.4271
485.12,7.42
486.119,7.4118
487.119,7.4034
488.119,7.3961
489.119,7.3877
490.119,7.3802
491.119,7.3718
492.119,7.3656
493.119,7.3579
494.12,7.3501
495.119,7.3413
496.119,7.3339
497.119,7.3246
498.12,7.3191
499.12,7.3118
500.12,7.3038
501.119,7.2965
502.119,7.2887
503.12,7.2813
504.119,7.2736
505.119,7.267
506.119,7.2592
507.12,7.2512
508.119,7.2447
509.12,7.2374
510.119,7.2303
511.119,7.2222
512.12,7.2151
513.119,7.2086
514.119,7.2011
515.12,7.1941
516.119,7.1874
517.119,7.1796
518.12,7.1721
519.119,7.1652
520.119,7.158
521.12,7.1514
522.119,7.1444
523.12,7.1374
524.119,7.1298
525.12,7.1224
526.119,7.1151
527.12,7.1089
528.119,7.101
529.119,7.0941
530.12,7.0873
531.12,7.079
532.12,7.0725
533.119,7.064
534.12,7.0569
535.12,7.0498
536.12,7.0419
537.12,7.0355
538.119,7.0275
539.119,7.0206
540.119,7.0133
541.12,7.0067
542.12,7.0001
543.119,6.9923
544.119,6.9847
