t (s),V (mV)
0,12.5486
1.049,12.5381
2.099,12.5236
3.12,12.5106
4.12,12.497
5.12,12.4819
6.12,12.4675
7.12,12.4526
8.12,12.4385
9.119,12.4235
10.12,12.4097
11.119,12.3933
12.119,12.3777
13.12,12.3625
14.119,12.3472
15.119,12.3327
16.12,12.3157
17.12,12.3001
18.119,12.2846
19.119,12.2679
20.12,12.2525
21.12,12.2366
22.12,12.2207
23.119,12.2052
24.119,12.1903
25.119,12.1735
26.12,12.1582
27.119,12.1428
28.119,12.1274
29.119,12.1121
30.12,12.0969
31.119,12.0814
32.12,12.0662
33.12,12.0505
34.12,12.0344
35.12,12.0189
36.12,12.0033
37.119,11.9879
38.12,11.9725
39.12,11.9577
40.119,11.9427
41.119,11.9271
42.12,11.9124
43.12,11.8978
44.12,11.8821
45.12,11.8675
46.12,11.8524
47.12,11.8374
48.119,11.8219
49.119,11.8075
50.12,11.7924
51.12,11.7775
52.12,11.7629
53.119,11.7484
54.12,11.7341
55.12,11.7199
56.119,11.7051
57.119,11.6896
58.119,11.6761
59.12,11.6607
60.12,11.6467
61.119,11.632
62.119,11.617
63.12,11.6037
64.12,11.589
65.119,11.5746
66.119,11.56
67.119,11.5466
68.12,11.5329
69.12,11.5186
70.12,11.505
71.119,11.4915
72.119,11.4766
73.12,11.4638
74.12,11.4497
75.12,11.4355
76.12,11.4211
77.119,11.4069
78.12,11.3939
79.12,11.3793
80.119,11.3654
81.119,11.3514
82.12,11.3384
83.119,11.3253
84.119,11.3113
85.119,11.2976
86.119,11.284
87.12,11.2699
88.12,11.256
89.12,11.2431
90.12,11.2289
91.12,11.2161
92.12,11.2024
93.119,11.1902
94.119,11.1766
95.119,11.1644
96.119,11.1518
97.119,11.1384
98.119,11.1261
99.119,11.1128
100.119,11.0986
101.119,11.0864
102.12,11.0732
103.12,11.0612
104.119,11.0474
105.119,11.035
106.119,11.0216
107.119,11.0088
108.12,10.9961
109.12,10.9841
110.119,10.971
111.119,10.959
112.12,10.9459
113.12,10.9338
114.119,10.9211
115.119,10.909
116.12,10.897
117.12,10.8841
118.119,10.8727
119.119,10.8603
120.119,10.8476
121.12,10.8354
122.119,10.824
123.119,10.8114
124.119,10.7999
125.119,10.7868
126.12,10.7746
127.119,10.7615
128.119,10.7495
129.12,10.737
130.12,10.7247
131.119,10.7123
132.12,10.6991
133.12,10.6873
134.119,10.6755
135.119,10.6631
136.119,10.6504
137.12,10.6384
138.12,10.6265
139.119,10.6141
140.119,10.6013
141.119,10.5895
142.118,10.5777
143.118,10.5652
144.118,10.5538
145.118,10.5416
146.118,10.5301
147.118,10.5182
148.118,10.5061
149.118,10.494
150.119,10.4826
151.119,10.471
152.119,10.4584
153.119,10.4473
154.118,10.436
155.118,10.4241
156.119,10.4127
157.119,10.4007
158.119,10.3889
159.118,10.3779
160.118,10.3671
161.119,10.3565
162.119,10.3444
163.118,10.3328
164.118,10.3222
165.119,10.3105
166.119,10.2995
167.119,10.2875
168.118,10.2766
169.118,10.2659
170.118,10.2542
171.118,10.2436
172.119,10.2324
173.119,10.2211
174.118,10.2104
175.119,10.2004
176.119,10.1887
177.118,10.1772
178.118,10.1662
179.118,10.1554
180.118,10.1452
181.118,10.1345
182.118,10.1229
183.119,10.1118
184.118,10.0999
185.118,10.0893
186.119,10.078
187.118,10.0669
188.118,10.0566
189.119,10.0454
190.119,10.034
191.118,10.0234
192.119,10.0128
193.119,10.0005
194.119,9.9906
195.119,9.9788
196.119,9.9681
197.119,9.9576
198.119,9.946
199.12,9.9355
200.12,9.9248
201.12,9.9143
202.12,9.9034
203.119,9.8927
204.12,9.8824
205.12,9.8716
206.12,9.8613
207.119,9.8501
208.119,9.8394
209.12,9.8292
210.12,9.8196
211.12,9.8094
212.119,9.7991
213.12,9.7882
214.12,9.7785
215.119,9.7683
216.12,9.758
217.119,9.7482
218.119,9.7371
219.119,9.7267
220.12,9.7164
221.12,9.706
222.119,9.696
223.119,9.6858
224.12,9.6755
225.119,9.6661
226.12,9.6563
227.12,9.6464
228.12,9.6364
229.119,9.6268
230.119,9.6164
231.119,9.6071
232.12,9.5962
233.12,9.5865
234.12,9.5767
235.12,9.5669
236.12,9.5575
237.12,9.5474
238.119,9.5369
239.119,9.5269
240.119,9.5165
241.119,9.5065
242.119,9.4956
243.12,9.4859
244.12,9.4756
245.12,9.4656
246.119,9.4565
247.119,9.446
248.119,9.4358
249.119,9.4264
250.119,9.416
251.12,9.4061
252.119,9.3956
253.119,9.3855
254.119,9.3756
255.12,9.3662
256.12,9.3573
257.12,9.3485
258.119,9.3382
259.119,9.328
260.119,9.3185
261.119,9.3089
262.12,9.299
263.119,9.2901
264.12,9.28
265.12,9.2706
266.119,9.2613
267.119,9.2511
268.12,9.2414
269.12,9.232
270.119,9.2222
271.119,9.2128
272.12,9.2027
273.119,9.193
274.119,9.1831
275.12,9.1737
276.119,9.1632
277.119,9.1539
278.119,9.1448
279.119,9.1336
280.119,9.1238
281.12,9.1142
282.12,9.1043
283.119,9.0936
284.119,9.0842
285.119,9.074
286.119,9.0649
287.119,9.0556
288.12,9.0469
289.12,9.037
290.119,9.0272
291.119,9.0176
292.119,9.0094
293.119,8.9992
294.119,8.9894
295.119,8.9809
296.119,8.971
297.12,8.9622
298.12,8.9532
299.12,8.9451
