t (s),V (mV)
0,11.5981
0.969,11.553
1.902,11.5073
2.877,11.4604
3.876,11.4094
4.877,11.3588
5.876,11.3084
6.877,11.2564
7.877,11.2055
8.877,11.1544
9.877,11.1041
10.877,11.0528
11.876,11.0032
12.877,10.9521
13.877,10.9024
14.876,10.8507
15.877,10.801
16.876,10.7523
17.876,10.7037
18.876,10.6557
19.876,10.607
20.875,10.558
21.875,10.5101
22.875,10.4623
23.875,10.4148
24.876,10.3684
25.876,10.3206
26.875,10.2735
27.875,10.2277
28.875,10.1806
29.875,10.1351
30.875,10.088
31.875,10.0421
32.876,9.9964
33.876,9.9509
34.877,9.9062
35.876,9.8619
36.876,9.8173
37.877,9.7723
38.876,9.7275
39.877,9.684
40.876,9.639
41.876,9.5952
42.876,9.5514
43.877,9.5083
44.879,9.4655
45.876,9.4221
46.876,9.3787
47.877,9.3368
48.876,9.2938
49.877,9.2515
50.877,9.2097
51.877,9.1671
52.877,9.1258
53.876,9.0847
54.876,9.0433
55.876,9.0019
56.876,8.9608
57.876,8.9204
58.876,8.8794
59.877,8.8404
60.876,8.8002
61.877,8.7602
62.876,8.7202
63.877,8.6806
64.876,8.6406
65.876,8.6012
66.876,8.5615
67.876,8.5229
68.877,8.4833
69.877,8.4452
70.877,8.4061
71.877,8.368
72.876,8.3291
73.876,8.2913
74.877,8.2528
75.876,8.2144
76.877,8.1769
77.877,8.1398
78.877,8.1026
79.876,8.0655
80.876,8.0294
81.877,7.9924
82.876,7.9555
83.876,7.9189
84.876,7.8829
85.877,7.8472
86.876,7.8117
87.876,7.7748
88.877,7.7384
89.876,7.7034
90.876,7.6673
91.877,7.6329
92.876,7.5982
93.877,7.5631
94.876,7.53
95.877,7.4955
96.876,7.4617
97.877,7.4265
98.876,7.3931
99.877,7.3587
100.876,7.3258
101.876,7.2922
102.877,7.258
103.877,7.2259
104.877,7.1928
105.877,7.1592
106.877,7.1265
107.877,7.0934
108.877,7.0616
109.877,7.0292
110.876,6.9969
111.876,6.9645
112.877,6.9332
113.876,6.9025
114.876,6.8706
115.876,6.8396
116.877,6.8083
117.876,6.7773
118.876,6.7468
119.877,6.7164
120.877,6.6852
121.876,6.6538
122.876,6.6226
123.876,6.5936
124.877,6.5637
125.876,6.5327
126.876,6.5037
127.877,6.4742
128.876,6.4441
129.876,6.4141
130.876,6.3852
131.877,6.3559
132.876,6.3268
133.876,6.2982
134.876,6.2686
135.876,6.2398
136.877,6.2111
