"Isc, mA","U0, mV","Im, A","U34, mV"
"0.99","-0.107","0.24","0.007"
"0.99","-0.107","0.47","0.097"
"0.99","-0.107","0.71","0.186"
"0.99","-0.107","0.96","0.243"
"0.99","-0.107","1.20","0.282"
"0.99","-0.107","1.34","0.297"
