"Isc, mA","U0, mV","Im, A","U34, mV"
"1.00","-0.107","0.24","-0.224"
"1.00","-0.107","0.47","-0.319"
"1.00","-0.107","0.71","-0.413"
"1.00","-0.107","0.96","-0.475"
"1.00","-0.107","1.20","-0.513"
"1.00","-0.107","1.33","-0.530"
