"Isc, mA","U0, mV","Im, A","U34, mV"
"0.14","-0.016","0.24","0.000"
"0.14","-0.016","0.47","0.013"
"0.14","-0.016","0.71","0.025"
"0.14","-0.016","0.96","0.033"
"0.14","-0.016","1.20","0.039"
"0.14","-0.016","1.36","0.042"
