"$Isc, mA$","$K, \frac{V}{Tl}$","$\sigma_K, \frac{V}{Tl}$","$\varepsilon_K, \frac{V}{Tl}$"
0.14,5.099471768480295e-05,1.0218785872240515e-06,0.02003891056991936
0.31,0.00011128647497637024,2.3426965914370106e-06,0.021051044989379365
0.48,0.00017311812158855494,5.2778286207729995e-06,0.030486863953599664
0.65,0.0002354815938996921,7.290462459202258e-06,0.030959797487644707
0.82,0.0002998202126808735,8.797150242360227e-06,0.02934141819092047
0.99,0.00035877774759707605,1.0413202525224827e-05,0.029024103626736998
