"Isc, mA","U0, mV","Im, A","U34, mV"
"0.82","-0.090","0.24","0.005"
"0.82","-0.090","0.47","0.080"
"0.82","-0.090","0.71","0.155"
"0.82","-0.090","0.96","0.202"
"0.82","-0.090","1.20","0.234"
"0.82","-0.090","1.34","0.248"
