"Isc, mA","U0, mV","Im, A","U34, mV"
"0.65","-0.070","0.24","0.005"
"0.65","-0.070","0.47","0.062"
"0.65","-0.070","0.71","0.122"
"0.65","-0.070","0.96","0.160"
"0.65","-0.070","1.20","0.185"
"0.65","-0.070","1.35","0.195"
