"Isc, mA","U0, mV","Im, A","U34, mV"
"0.48","-0.052","0.24","0.004"
"0.48","-0.052","0.47","0.046"
"0.48","-0.052","0.71","0.090"
"0.48","-0.052","0.96","0.118"
"0.48","-0.052","1.20","0.136"
"0.48","-0.052","1.35","0.144"
