"dP, μN","B^2, Tl^2"
9.81,0.0159630319327502
39.24,0.05777478283562
98.1,0.141451747812994
137.34,0.197108601651702
206.01,0.290504772937918
284.49,0.419352648567913
372.78,0.559533488179637
470.88,0.747798461140012
470.88,0.747798461140012
392.4,0.559533488179637
304.11,0.419352648567913
215.82,0.290504772937918
147.15,0.197108601651702
98.1,0.139417088408832
39.24,0.05777478283562
9.81,0.0166563880912028
