"dP, μN","B, Tl"
0,0.126344892784593
-19.62,0.240363855093939
-39.24,0.381530189381701
-58.86,0.443969144932057
-88.29,0.541699684054354
-127.53,0.647574434770176
-166.77,0.750734448288156
-215.82,0.867468147795344
-215.82,0.867468147795344
-176.58,0.753449185485998
-137.34,0.647574434770176
-98.1,0.538984946856513
-68.67,0.443969144932057
-49.05,0.376100714986018
-19.62,0.240363855093939
-9.81,0.131774367180276
