"X","Y"
0.33,0.126344892784593
0.75,0.240363855093939
1.25,0.376100714986018
1.5,0.443969144932057
1.85,0.538984946856513
2.25,0.647574434770176
2.62,0.748019711090314
3.05,0.864753410597502
